,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Ao_Xiong,0.15772447,0.038569137,0.108032934,0.06272123,0.012316809,0.032331605,0.019625861,-0.18319732,0.08441768,0.08933776,0.12450118,0.05959799,-0.078840315,0.057010256,-0.017899815,0.07582197,-0.011053982,0.052901447,-0.012165657,-0.1462475,0.07840432,-0.1159137,0.013305973,0.08320597,0.023388846,-0.35174358,-0.09791923,-0.013999486,0.13091251,0.015895624,1.2053795,-0.007418291,-0.10980799,-0.14726283,0.0012353831,-0.0021232793,0.044776976,0.04079553,-0.0031656257,-0.0027355002,0.08295762,-0.100779384,-0.02115813,0.12805258,-0.12917262,-0.061215673,0.15162387,0.09941141,0.10685077,0.08179317
Li_Wang_0039,0.16372225,0.06202437,0.10762998,0.047638956,0.015086895,0.045293443,0.03172613,-0.18990093,0.0814326,0.12130712,0.142444,0.07906759,-0.04861884,0.04329361,-0.0030274664,0.07596695,-0.013828888,0.045700915,-0.0056702145,-0.17335583,0.0820813,-0.1332969,0.006982083,0.09872719,0.032797903,-0.41504455,-0.1100201,-0.040484667,0.14572346,0.013545848,1.3614482,0.025072949,-0.11047571,-0.19623502,-0.008990713,-0.007888326,0.053389195,0.017193733,-0.05540254,-0.026041035,0.09751218,-0.122607455,-0.0060338005,0.16509822,-0.12772574,-0.08367618,0.15477453,0.14119247,0.10100478,0.0967079
Bin_Wu_0001,0.21085092,0.07689885,0.05581231,0.049034875,0.089299455,0.06949661,-0.020313753,-0.2121268,0.08511889,0.08499171,0.11887198,0.069646716,-0.058479965,0.061384153,0.042554893,0.07621687,0.009717153,-0.0055107595,0.009564983,-0.20522587,0.08081426,-0.10952519,0.054325733,0.12046131,0.09304131,-0.48296553,-0.20997119,-0.046759717,0.1320101,-0.03142628,1.4812402,-0.028158152,-0.13330826,-0.29643193,-0.018992735,0.0047273403,0.023924118,0.06241838,-0.07276447,-0.00848123,0.075348735,-0.110067874,0.00017669452,0.1648808,-0.058008887,-0.062340442,0.17493868,0.15951046,0.0907238,0.08417667
Zhili_Wang,0.16384247,0.020532254,0.051421747,0.015721805,0.027398713,0.053641774,0.014368193,-0.14549373,0.063773006,0.06203495,0.08588992,0.03732407,-0.034039494,0.055796318,0.0054135886,0.0650373,-0.00034106194,0.007629619,-0.01017449,-0.12513064,0.04111037,-0.08987834,0.024125876,0.045131806,0.06359711,-0.3090996,-0.12284089,-0.019235885,0.10699549,-0.0046367147,0.9969802,-0.01872363,-0.111599065,-0.17040248,-0.005997158,0.01096527,0.037393413,0.059183452,-0.032812186,-0.013033081,0.029107377,-0.07228198,-0.013730291,0.10345408,-0.069482714,-0.045691438,0.15077922,0.08540599,0.050126735,0.07125845
Ding_Xiao,0.1285277,0.044818025,0.022729129,0.013934586,0.06722285,0.062096387,0.0071325754,-0.11003398,0.03400951,0.058832057,0.07300993,0.01601425,-0.03628126,0.033801287,0.041805178,0.053734813,0.019043602,-0.003927674,-0.034695882,-0.15979531,0.052945588,-0.07748844,0.03230167,0.044980086,0.069651544,-0.30724394,-0.13911803,-0.031328466,0.08890018,-0.003002728,0.9599552,-0.0030849155,-0.09392426,-0.18384957,0.008830376,-0.016065404,0.03887408,0.06213064,-0.051032,-0.027373465,0.0134161925,-0.08638694,0.0007246687,0.09392792,-0.033628665,-0.027766675,0.124351725,0.094687104,0.03937455,0.06808528
Yingxia_Shao,0.1762384,0.03867586,0.054801308,0.013198086,0.071615815,0.056635164,0.0044711423,-0.19282942,0.073214516,0.07103765,0.11301213,0.059018303,-0.052038494,0.051079992,0.024850545,0.06868026,0.006955998,0.00830826,0.017955933,-0.20715724,0.06939567,-0.11742117,0.026523696,0.10289398,0.08606879,-0.39587727,-0.16860203,-0.040404838,0.120128825,-0.040004004,1.3161782,-0.02651195,-0.12657075,-0.22418599,0.004544474,0.0094317915,0.04003149,0.06597718,-0.042710587,-0.014188483,0.06660961,-0.12065675,0.0017260498,0.1442069,-0.0642476,-0.053439688,0.20766081,0.12983485,0.06734323,0.07874827
Rongheng_Lin,0.19033813,0.015294908,0.10372324,0.034165308,0.041965723,0.04804152,-0.030525027,-0.22182877,0.09562773,0.08200135,0.118960075,0.07627573,-0.059187174,0.049860023,0.029211985,0.075248726,-0.008318435,0.015059181,0.018478261,-0.22415772,0.081933565,-0.14618748,0.028252201,0.059337758,0.07290567,-0.47256777,-0.14431791,-0.024887215,0.14964336,-0.015809933,1.4379609,-0.045971155,-0.15799583,-0.22589028,-0.001284667,0.018479723,0.03314975,0.08194156,-0.032921396,-0.017834317,0.073566616,-0.10136341,0.004833877,0.14837447,-0.082659476,-0.05564518,0.18219206,0.14124385,0.09219394,0.06703952
Kun_Niu,0.19220714,0.019902827,0.07256985,0.0059818304,0.065945014,0.060395595,-0.009427373,-0.15850817,0.06935051,0.08392178,0.09536301,0.041093607,-0.02335786,0.040342033,0.0520279,0.08488699,0.009886994,-0.023794696,-0.0246994,-0.22494628,0.063211165,-0.15174448,0.030636938,0.06958102,0.0636085,-0.4638963,-0.1726187,-0.03895058,0.114787824,-0.017986301,1.3750986,-0.019699167,-0.11693928,-0.2624968,0.033616632,-0.0009845797,0.04309531,0.07805436,-0.015839256,-0.049909372,0.026316363,-0.08198794,0.0044111367,0.179286,-0.06982741,-0.04251636,0.19905272,0.18014005,0.08729475,0.088740155
Xirong_Que,0.19698086,0.039917428,0.124815494,0.06577049,-0.0054276073,0.015251709,-0.03666179,-0.20008121,0.10444377,0.08422903,0.13046555,0.078689575,-0.06991208,0.07016305,-0.009269947,0.10002033,-0.02139393,0.037244607,-0.0026026212,-0.1827113,0.10055244,-0.10465941,0.0084795775,0.1086772,0.045920305,-0.48991892,-0.123393506,-0.043904886,0.16084981,-0.0058457,1.4639188,0.027336834,-0.13124686,-0.23672456,-0.043494828,0.018011387,0.033599976,0.030484555,-0.08836119,-0.008460063,0.10241003,-0.07708559,-0.013071508,0.15825321,-0.10934112,-0.062121954,0.13091044,0.12243975,0.06126778,0.09482156
Dahai_Jin,0.18281089,-0.0010066761,0.08901942,0.0082861,0.027283456,0.090565704,0.022677658,-0.1530825,0.08302193,0.06789635,0.12655015,0.06196571,-0.06892223,0.06420936,0.006859065,0.09177966,0.002426038,0.0028573372,-0.025190588,-0.20545697,0.022744121,-0.09448427,0.022666188,0.036675643,0.112111144,-0.49095878,-0.15519837,-0.03888191,0.12538227,-0.03913834,1.3113941,-0.04594132,-0.1770631,-0.26522997,0.042773515,0.015106119,0.10470284,0.037880328,-0.051837802,-0.0035078407,0.02572444,-0.08593018,0.014324521,0.13489684,-0.047167335,-0.021807313,0.18942536,0.16035266,0.06456096,0.055871237
